Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-05-06,26.49,26.67,25.190001,26.120001,26.120001,17790700,278
2020-05-07,30.280001,33.580002,29.51,31.780001,31.780001,34466300,279
2020-05-08,32.23,33.560001,32.23,32.73,32.73,11886600,280
2020-05-11,31.799999,32.150002,30.620001,31.360001,31.360001,12014700,281
2020-05-12,31.09,32.080002,29.35,29.530001,29.530001,13414500,282
2020-05-13,29.75,29.9,27.110001,28.370001,28.370001,15032500,283
2020-05-14,27.700001,27.965,26.129999,27.719999,27.719999,12560300,284
2020-05-15,27.52,28.26,26.93,28.15,28.15,6881200,285
2020-05-18,29.870001,31.08,29.389999,30.43,30.43,11935000,286
2020-05-19,30.48,31.639999,29.559999,30.690001,30.690001,8398900,287
2020-05-20,31.4,31.950001,30.08,30.82,30.82,8503900,288
2020-05-21,30.74,30.91,29.57,30.389999,30.389999,6281300,289
2020-05-22,30.309999,31.27,29.57,31.26,31.26,6699300,290
2020-05-26,32.48,33.18,31.4,32.470001,32.470001,9085100,291
2020-05-27,32.950001,33.884998,31.389999,33.75,33.75,9270500,292
2020-05-28,33.419998,33.564999,31.52,31.73,31.73,6816200,293
2020-05-29,31.459999,32.040001,30.620001,31.26,31.26,6817100,294
2020-06-01,30.93,32.666,30.549999,32.59,32.59,8371200,295
2020-06-02,32.799999,33.009998,31.5,31.68,31.68,6809800,296
2020-06-03,33.73,35.562,33.5,34.439999,34.439999,16778400,297
2020-06-04,34.709999,36.75,34.096001,36.075001,36.075001,11770300,298
2020-06-05,37.919998,39.650002,37.860001,38.610001,38.610001,12285300,299
2020-06-08,39.93,41.189999,39.23,40.98,40.98,11217900,300
2020-06-09,39.75,40.09,38.779999,39.209999,39.209999,7989400,301
2020-06-10,39.41,39.610001,37.599998,38.560001,38.560001,9524800,302
2020-06-11,36.169998,37.66,35.049999,35.32,35.32,12443600,303
2020-06-12,37.25,37.490002,35.950001,36.889999,36.889999,12055200,304
2020-06-15,35.400002,36.41,34.417999,36.209999,36.209999,19440700,305
2020-06-16,38.099998,38.380001,36.419998,36.709999,36.709999,9045000,306
2020-06-17,36.869999,36.919998,35.314999,35.32,35.32,6225900,307
2020-06-18,35.049999,36.049999,34.799999,35.830002,35.830002,5841900,308
2020-06-19,36.369999,37.080002,34.639999,34.82,34.82,8550600,309
2020-06-22,34.799999,34.93,32.950001,34.25,34.25,9522400,310
2020-06-23,34.709999,35.73,34.189999,35.599998,35.599998,7034400,311
2020-06-24,35.080002,35.334999,32.740002,32.794998,32.794998,11275400,312
2020-06-25,32.34,33.417,31.93,33.189999,33.189999,9310000,313
2020-06-26,32.869999,33.169998,31.83,32.27,32.27,11900900,314
2020-06-29,32.34,33.380001,31.040001,33.060001,33.060001,6745800,315
2020-06-30,32.77,33.34,32.220001,33.009998,33.009998,5410000,316
2020-07-01,33.209999,33.669998,31.83,32,32,6358900,317
2020-07-02,32.720001,33.389999,31.68,31.82,31.82,6162500,318
2020-07-06,32.84,33.5,32.049999,33.220001,33.220001,8338900,319
2020-07-07,32.759998,32.895,30.860001,30.940001,30.940001,9092900,320
2020-07-08,31.07,32.34,30.709999,32.18,32.18,7687900,321
2020-07-09,32.139999,32.16,29.620001,29.9,29.9,9671600,322
2020-07-10,30.049999,30.860001,29.360001,30.700001,30.700001,6055800,323
2020-07-13,30.860001,31.200001,28.68,28.809999,28.809999,9037100,324
2020-07-14,28.41,28.42,27.51,27.92,27.92,9524300,325
2020-07-15,28.879999,30.825001,28.790001,30.780001,30.780001,11125400,326
2020-07-16,30.139999,30.18,28.780001,29.58,29.58,7299500,327
2020-07-17,29.59,30.15,29.110001,29.73,29.73,5232400,328
2020-07-20,29.559999,30.639999,29.209999,30.57,30.57,5673900,329
